ID,Nombre,Estado,Habilidad diseno,Observaciones
A9,Pico Perforador,Sin habilidad en diseño,,
A11,Molares Trituradores,Sin habilidad en diseño,,
A29,Piel Rugosa,Sin habilidad en diseño,,
A47,Patas de Aceleración,Sin habilidad en diseño,,
A56,Cola Afilada,Sin habilidad en diseño,,
A57,Cola Equilibradora,Sin habilidad en diseño,,
A74,Electrorrecepción,Sin habilidad en diseño,,
A83,Apotematismo,Sin habilidad en diseño,,
A84,Osteodermos dérmicos,Sin habilidad en diseño,,
A93,Bioluminiscencia,Sin habilidad en diseño,,
A109,Mandíbula Excavadora,Sin habilidad en diseño,,
A111,Dientes en Peine,Sin habilidad en diseño,,
A119,Placas de Corteza,Sin habilidad en diseño,,
A122,Aletas Litorales,Sin habilidad en diseño,,
A123,Piel Osmorreguladora,Sin habilidad en diseño,,
